Side,Shoulder_Angle,Elbow_Angle,Hip_Angle,Knee_Angle,Ankle_Angle,Label
left,10.63920803,174.4668131,174.7851426,179.8481395,179.4192756,Jumping Jacks
left,10.59034174,174.4287058,174.7650415,179.775215,179.3861473,Jumping Jacks
left,10.54674599,174.4894311,174.78579,179.6600167,179.3337105,Jumping Jacks
left,10.48768235,174.6149131,174.7595418,179.6142227,179.3139262,Jumping Jacks
left,10.41210679,174.7585026,174.737721,179.5705638,179.2988047,Jumping Jacks
left,10.33375012,174.896478,174.7176098,179.5372862,179.2905927,Jumping Jacks
left,10.26498905,175.0191186,174.688875,179.4977814,179.2782319,Jumping Jacks
left,10.1841754,175.1451971,174.6764674,179.4673047,179.278924,Jumping Jacks
left,10.12336105,175.3588907,174.6406571,179.445388,179.274274,Jumping Jacks
left,9.953478135,175.7354856,174.7089242,179.3660575,179.2769004,Jumping Jacks
left,9.798611167,176.2396939,174.8466149,179.2408888,179.2711315,Jumping Jacks
left,9.620024839,177.6503253,175.2432804,178.9922268,179.2650783,Jumping Jacks
left,9.59330476,179.8198791,175.4245426,178.9736979,179.3277815,Jumping Jacks
left,10.62537087,174.794945,175.8063645,178.7714338,179.3609553,Jumping Jacks
left,13.03657435,172.2840644,175.9689021,178.7193144,179.3749047,Jumping Jacks
left,19.74447444,166.6496755,175.9701558,179.0261255,179.6244548,Jumping Jacks
left,27.09384741,161.7923442,175.9468973,178.9924962,179.6238539,Jumping Jacks
left,40.41229769,156.5091878,175.5769747,179.8463324,179.8983636,Jumping Jacks
left,48.66470841,148.0319464,175.5319435,179.6104796,179.7460376,Jumping Jacks
left,62.73555156,131.6644893,175.4276218,178.1370393,178.1491413,Jumping Jacks
left,72.33886638,124.043814,174.0516102,178.6444321,177.2935959,Jumping Jacks
left,92.67203129,127.3788678,171.3917845,179.7146114,175.5936464,Jumping Jacks
left,106.3053763,129.6819855,168.7727033,179.2731852,174.0108615,Jumping Jacks
left,122.4534389,142.0100089,165.9371238,178.6603637,171.4671549,Jumping Jacks
left,131.7113041,137.3333469,164.3422816,179.1600356,169.1725265,Jumping Jacks
left,131.4579996,120.8130966,163.1169276,179.6929408,165.981464,Jumping Jacks
left,140.1438642,118.1224125,161.0772031,179.0977826,164.9575118,Jumping Jacks
left,149.2208799,121.258232,159.3578389,177.917775,164.2382352,Jumping Jacks
left,152.3224348,126.1597158,159.4450087,177.576456,164.6323587,Jumping Jacks
left,147.3220164,130.251769,161.4532046,178.5968983,165.4987242,Jumping Jacks
left,140.4934562,132.3100264,161.8548393,178.6786664,166.0152432,Jumping Jacks
left,118.7597833,130.1250848,162.1390846,178.177996,167.665488,Jumping Jacks
left,94.33304358,116.5797811,164.6808566,177.7950243,171.0553308,Jumping Jacks
left,61.69508687,113.2362467,170.3191942,179.7273889,174.966727,Jumping Jacks
left,44.0888436,129.8571554,173.727265,178.7634632,177.0234534,Jumping Jacks
left,27.69148803,150.2674186,175.9735393,179.0677833,178.8064091,Jumping Jacks
left,19.25596078,157.2670471,177.2249375,178.167713,176.6079637,Jumping Jacks
left,13.33720162,168.0144635,177.053558,178.6929313,176.4390878,Jumping Jacks
left,11.37039944,173.5232655,175.7906039,177.9394456,176.4423222,Jumping Jacks
left,9.61860952,176.3931684,176.4160351,177.5629873,175.7032104,Jumping Jacks
left,10.08741604,175.1643206,177.1878513,177.9334414,175.6532917,Jumping Jacks
left,13.68552096,176.9042351,176.4964891,177.3663938,175.7440022,Jumping Jacks
left,15.10986478,161.9403728,175.963528,177.730859,176.6370722,Jumping Jacks
left,21.76789087,152.6209638,176.6757805,179.5801962,178.317854,Jumping Jacks
left,32.54625055,147.2981868,174.9796756,179.4561846,178.889538,Jumping Jacks
left,45.62342152,117.9732083,172.0426367,179.234829,175.5897949,Jumping Jacks
left,59.47486559,108.0563382,168.9453251,178.8138643,174.291866,Jumping Jacks
left,85.90108943,111.1917117,165.9737297,178.7286806,171.4243015,Jumping Jacks
left,103.8019057,118.9012399,164.8188904,179.3051906,169.1950753,Jumping Jacks
left,118.4592561,118.914627,163.3465928,179.9605871,166.2993392,Jumping Jacks
left,131.2295109,120.4750774,162.2545164,179.2556219,165.1202684,Jumping Jacks
left,141.0100371,113.4800684,159.576135,177.0850921,164.4001654,Jumping Jacks
left,147.3101085,115.5620733,158.8995951,175.4058677,165.1313602,Jumping Jacks
left,146.5091044,119.1891299,160.3267687,177.0494479,165.0047495,Jumping Jacks
left,139.5422429,120.5619158,161.4020372,178.1242801,165.1154976,Jumping Jacks
left,125.7642847,123.8311647,162.7670656,177.0420497,167.5251742,Jumping Jacks
left,103.4435132,114.6649465,164.0307377,179.1461897,167.1464381,Jumping Jacks
left,71.2464908,102.0170673,167.9762273,179.8077363,171.0101889,Jumping Jacks
left,49.82958288,109.0654116,171.2744989,179.2279226,173.8026292,Jumping Jacks
left,32.23869003,144.3972906,174.2471598,178.331082,176.4765497,Jumping Jacks
